"tusk","year_conc","year","age","age_conc"
"953",NA,2007,28,NA
"953",NA,2008,29,NA
"956",NA,1969,0,NA
"956",NA,1970,1,NA
"956",NA,1971,2,NA
"956",NA,1972,3,NA
"956",NA,1973,4,NA
"956",NA,1974,5,NA
"956",NA,1975,6,NA
"956",NA,1976,7,NA
"956",NA,1977,8,NA
"956",NA,1978,9,NA
"956",NA,1979,10,NA
"956",NA,1980,11,NA
"956",NA,1981,12,NA
"956",NA,1982,13,NA
"956",NA,1983,14,NA
"956",NA,1984,15,NA
"956",NA,1985,16,NA
"956",NA,1986,17,NA
"956",NA,1987,18,NA
"956",NA,1988,19,NA
"956",NA,1989,20,NA
"956",NA,1990,21,NA
"956",NA,1991,22,NA
"956",NA,1992,23,NA
"956",NA,1993,24,NA
"956",NA,1994,25,NA
"956",NA,1995,26,NA
"956",NA,1996,27,NA
"956",NA,1997,28,NA
"956",NA,1998,29,NA
"956",NA,1999,30,NA
"956",NA,2000,31,NA
"956",NA,2001,32,NA
"956",NA,2002,33,NA
"956",NA,2003,34,NA
"956",NA,2004,35,NA
"956",NA,2005,36,NA
"956",NA,2006,37,NA
"956",NA,2007,38,NA
"956",NA,2008,39,NA
"956",NA,2009,40,NA
"956",NA,2010,41,NA
"974",NA,1981,0,NA
"974",NA,1982,1,NA
"974",NA,1983,2,NA
"974",NA,1984,3,NA
"974",NA,1985,4,NA
"974",NA,1986,5,NA
"974",NA,1987,6,NA
"974",NA,1988,7,NA
"974",NA,1989,8,NA
"974",NA,1990,9,NA
"974",NA,1991,10,NA
"974",NA,1992,11,NA
"974",NA,1993,12,NA
"974",NA,1994,13,NA
"974",NA,1995,14,NA
"974",NA,1996,15,NA
"974",NA,1997,16,NA
"974",NA,1998,17,NA
"974",NA,1999,18,NA
"974",NA,2000,19,NA
"974",NA,2001,20,NA
"974",NA,2002,21,NA
"974",NA,2003,22,NA
"974",NA,2004,23,NA
"974",NA,2005,24,NA
"974",NA,2006,25,NA
"974",NA,2007,26,NA
"974",NA,2008,27,NA
"974",NA,2009,28,NA
"974",NA,2010,29,NA
"1002",NA,2001,0,NA
"1002",NA,2002,1,NA
"1002",NA,2003,2,NA
"1002",NA,2004,3,NA
"1002",NA,2005,4,NA
"1002",NA,2006,5,NA
"1002",NA,2007,6,NA
"1002",NA,2008,7,NA
"1002",NA,2009,8,NA
"1002",NA,2010,9,NA
"1002",NA,2011,10,NA
"1002",NA,2012,11,NA
"1002",NA,2013,12,NA
"1002",NA,2014,13,NA
"1002",NA,2015,14,NA
"1002",NA,2016,15,NA
"1002",NA,2017,16,NA
"1015",NA,1994,0,NA
"1015",NA,1995,1,NA
"1015",NA,1996,2,NA
"1015",NA,1997,3,NA
"1015",NA,1998,4,NA
"1015",NA,1999,5,NA
"1015",NA,2000,6,NA
"1015",NA,2001,7,NA
"1015",NA,2002,8,NA
"1015",NA,2003,9,NA
"1015",NA,2004,10,NA
"1015",NA,2005,11,NA
"1015",NA,2006,12,NA
"1015",NA,2007,13,NA
"1015",NA,2008,14,NA
"1015",NA,2009,15,NA
"1015",NA,2010,16,NA
"1015",NA,2011,17,NA
"1015",NA,2012,18,NA
"1015",NA,2013,19,NA
"1015",NA,2014,20,NA
"1015",NA,2015,21,NA
"1015",NA,2016,22,NA
"1015",NA,2017,23,NA
"1015",NA,2018,24,NA
"1016",NA,2002,0,NA
"1016",NA,2003,1,NA
"1016",NA,2004,2,NA
"1016",NA,2005,3,NA
"1016",NA,2006,4,NA
"1016",NA,2007,5,NA
"1016",NA,2008,6,NA
"1016",NA,2009,7,NA
"1016",NA,2010,8,NA
"1016",NA,2011,9,NA
"1016",NA,2012,10,NA
"1016",NA,2013,11,NA
"1016",NA,2014,12,NA
"1016",NA,2015,13,NA
"1016",NA,2016,14,NA
"1016",NA,2017,15,NA
"1016",NA,2018,16,NA
"4075",NA,1987,0,NA
"4075",NA,1988,1,NA
"4075",NA,1989,2,NA
"4075",NA,1990,3,NA
"4075",NA,1991,4,NA
"4075",NA,1992,5,NA
"4075",NA,1993,6,NA
"4075",NA,1994,7,NA
"4075",NA,1995,8,NA
"4075",NA,1996,9,NA
"4075",NA,1997,10,NA
"4075",NA,1998,11,NA
"4075",NA,1999,12,NA
"4075",NA,2000,13,NA
"4075",NA,2001,14,NA
"4075",NA,2002,15,NA
"4075",NA,2003,16,NA
"4075",NA,2004,17,NA
"4075",NA,2005,18,NA
"4075",NA,2006,19,NA
"4075",NA,2007,20,NA
"4075",NA,2008,21,NA
"4080",NA,1993,0,NA
"4080",NA,1994,1,NA
"4080",NA,1995,2,NA
"4080",NA,1996,3,NA
"4080",NA,1997,4,NA
"4080",NA,1998,5,NA
"4080",NA,1999,6,NA
"4080",NA,2000,7,NA
"4080",NA,2001,8,NA
"4080",NA,2002,9,NA
"4080",NA,2003,10,NA
"4080",NA,2004,11,NA
"4080",NA,2005,12,NA
"4080",NA,2006,13,NA
"4080",NA,2007,14,NA
"4080",NA,2008,15,NA
"4084",NA,1991,0,NA
"4084",NA,1992,1,NA
"4084",NA,1993,2,NA
"4084",NA,1994,3,NA
"4084",NA,1995,4,NA
"4084",NA,1996,5,NA
"4084",NA,1997,6,NA
"4084",NA,1998,7,NA
"4084",NA,1999,8,NA
"4084",NA,2000,9,NA
"4084",NA,2001,10,NA
"4084",NA,2002,11,NA
"4084",NA,2003,12,NA
"4084",NA,2004,13,NA
"4084",NA,2005,14,NA
"4084",NA,2006,15,NA
"4084",NA,2007,16,NA
"4084",NA,2008,17,NA
